Job Title,Location,Education Level,YearsExperience,Salary
Data Scientist,Bengaluru,Bachelor's,7,52300
Data Scientist,Toronto,Bachelor's,5,81100
Marketing Manager,New York,Bachelor's,2,68500
Network Engineer,San Francisco,Master's,3,87800
HR Specialist,Remote,Master's,6,57500
Business Analyst,New York,Master's,7,83500
Marketing Manager,London,Bachelor's,5,77400
Product Manager,Toronto,High School,0,71100
Network Engineer,Bengaluru,Bachelor's,1,27000
UX Designer,New York,Master's,5,90200
Product Manager,Remote,Bachelor's,4,95500
QA Engineer,Bengaluru,Master's,4,34900
Product Manager,Remote,PhD,4,123500
Network Engineer,Bengaluru,High School,5,35900
QA Engineer,New York,Bachelor's,7,77400
Database Administrator,New York,Master's,6,102700
Systems Engineer,Remote,Bachelor's,2,55000
UX Designer,London,Master's,7,87600
Systems Engineer,Remote,Bachelor's,9,83700
Data Scientist,Bengaluru,Bachelor's,1,43300
Data Scientist,Remote,Bachelor's,3,72200
Network Engineer,New York,Bachelor's,5,75400
Marketing Manager,San Francisco,Bachelor's,4,89100
Network Engineer,London,Bachelor's,4,65700
Software Engineer,New York,Bachelor's,2,82400
Product Manager,New York,Bachelor's,3,108800
DevOps Engineer,London,Bachelor's,0,82800
Product Manager,Bengaluru,Bachelor's,3,55200
Business Analyst,San Francisco,High School,3,62900
QA Engineer,Bengaluru,Master's,5,46000
Database Administrator,Remote,Bachelor's,4,64400
Business Analyst,San Francisco,High School,1,60300
Business Analyst,New York,Bachelor's,7,76000
Database Administrator,Bengaluru,Bachelor's,3,33900
Database Administrator,Remote,Bachelor's,0,47200
Systems Engineer,Bengaluru,Master's,6,52600
Database Administrator,San Francisco,Bachelor's,3,84200
Systems Engineer,Bengaluru,Bachelor's,4,37800
UX Designer,London,Bachelor's,3,63500
Marketing Manager,London,Bachelor's,1,59500
UX Designer,New York,Bachelor's,4,75200
Marketing Manager,London,High School,6,66800
UX Designer,Toronto,Bachelor's,1,56700
Business Analyst,New York,Bachelor's,5,72600
Marketing Manager,London,Master's,2,71900
Database Administrator,London,Master's,4,78100
UX Designer,Bengaluru,Bachelor's,4,35400
Network Engineer,London,Bachelor's,12,86900
Marketing Manager,London,High School,4,59000
Systems Engineer,Bengaluru,Bachelor's,7,48400
Marketing Manager,New York,Master's,2,82300
Systems Engineer,Bengaluru,Bachelor's,1,31400
Database Administrator,London,Master's,8,93000
Database Administrator,London,Master's,0,64900
Network Engineer,London,Bachelor's,8,72300
Software Engineer,Remote,Master's,1,75000
HR Specialist,London,Bachelor's,1,47700
Software Engineer,Toronto,Master's,1,69300
UX Designer,Remote,High School,8,67200
Software Engineer,Toronto,Bachelor's,4,69900
Network Engineer,Bengaluru,Bachelor's,7,43700
DevOps Engineer,San Francisco,Bachelor's,10,145600
Database Administrator,London,Bachelor's,3,68700
Systems Engineer,Remote,Bachelor's,4,67200
Systems Engineer,Toronto,High School,4,58300
DevOps Engineer,Remote,Bachelor's,0,68900
Network Engineer,Remote,Master's,6,68900
UX Designer,San Francisco,Bachelor's,0,65500
UX Designer,New York,Bachelor's,0,62900
UX Designer,Remote,Bachelor's,9,73300
Software Engineer,London,Master's,0,75700
Marketing Manager,New York,Bachelor's,0,59900
Database Administrator,London,PhD,0,77000
Network Engineer,San Francisco,Bachelor's,3,74000
Data Scientist,London,Bachelor's,0,73900
Product Manager,Remote,PhD,5,127700
HR Specialist,San Francisco,Bachelor's,0,57500
Systems Engineer,San Francisco,Bachelor's,4,90700
QA Engineer,London,Bachelor's,5,66100
QA Engineer,Toronto,Bachelor's,3,52600
DevOps Engineer,San Francisco,Master's,6,141600
DevOps Engineer,Bengaluru,Master's,4,52900
DevOps Engineer,Remote,PhD,7,118000
Product Manager,New York,Bachelor's,0,97500
Marketing Manager,New York,Bachelor's,2,72900
Business Analyst,San Francisco,Bachelor's,12,100000
UX Designer,Remote,Master's,4,68100
UX Designer,Bengaluru,Master's,5,46500
QA Engineer,London,PhD,3,73900
Data Scientist,Bengaluru,Master's,7,58400
Software Engineer,London,Master's,6,91600
QA Engineer,New York,Bachelor's,10,83700
Marketing Manager,London,Master's,2,72100
UX Designer,Remote,Bachelor's,7,65900
UX Designer,London,Bachelor's,7,79200
Database Administrator,Bengaluru,Bachelor's,6,42700
UX Designer,London,Bachelor's,6,77000
Data Scientist,Remote,Bachelor's,6,85800
Systems Engineer,Bengaluru,Bachelor's,4,37000
Software Engineer,Toronto,High School,0,49100
QA Engineer,London,High School,2,50300
Database Administrator,San Francisco,Master's,4,99700
UX Designer,New York,Bachelor's,4,72500
UX Designer,Bengaluru,Master's,3,38900
Network Engineer,London,High School,0,47400
UX Designer,Bengaluru,Bachelor's,7,38600
Data Scientist,San Francisco,Master's,6,131900
Software Engineer,New York,Bachelor's,0,74600
DevOps Engineer,Bengaluru,Bachelor's,4,51200
Data Scientist,New York,Bachelor's,1,86300
Systems Engineer,Toronto,Master's,0,62200
Business Analyst,Bengaluru,Bachelor's,2,30300
Marketing Manager,London,Bachelor's,6,71800
UX Designer,Remote,Master's,5,74100
Network Engineer,Toronto,Bachelor's,5,58500
HR Specialist,Toronto,Bachelor's,0,39900
Network Engineer,Remote,Bachelor's,2,53300
Business Analyst,Bengaluru,Master's,2,33300
UX Designer,New York,Bachelor's,3,72300
Marketing Manager,Toronto,Master's,1,62200
HR Specialist,London,Bachelor's,0,43500
Software Engineer,Remote,Master's,7,88700
Product Manager,San Francisco,Master's,7,168900
Marketing Manager,Bengaluru,Bachelor's,4,41900
Systems Engineer,London,Bachelor's,8,91300
Data Scientist,Remote,High School,6,73600
Product Manager,Toronto,Bachelor's,4,96600
UX Designer,London,Bachelor's,5,71000
Software Engineer,Bengaluru,Bachelor's,4,41800
DevOps Engineer,San Francisco,PhD,0,122600
Data Scientist,Bengaluru,Bachelor's,2,39200
Data Scientist,Remote,Bachelor's,8,90000
Systems Engineer,Remote,Master's,6,76700
UX Designer,Toronto,Bachelor's,3,58600
Software Engineer,New York,Bachelor's,0,77500
Product Manager,San Francisco,Bachelor's,8,159200
Business Analyst,Toronto,Bachelor's,0,49900
Systems Engineer,New York,Master's,5,95800
QA Engineer,San Francisco,Bachelor's,2,68800
Database Administrator,San Francisco,Bachelor's,0,73200
Systems Engineer,London,Master's,3,78500
Business Analyst,Toronto,Bachelor's,6,51300
Software Engineer,London,Bachelor's,4,82000
Business Analyst,San Francisco,PhD,10,118800
QA Engineer,London,Bachelor's,6,69400
Business Analyst,New York,Bachelor's,3,65300
UX Designer,New York,Bachelor's,4,79600
Business Analyst,New York,Bachelor's,7,71900
Product Manager,San Francisco,PhD,5,175700
Database Administrator,London,Master's,0,64200
Software Engineer,San Francisco,Bachelor's,4,95900
DevOps Engineer,New York,Master's,2,107700
Business Analyst,Remote,PhD,4,68200
HR Specialist,Toronto,PhD,3,55500
Data Scientist,Remote,Bachelor's,3,73800
Data Scientist,Bengaluru,Bachelor's,5,53000
Marketing Manager,London,Bachelor's,5,75300
QA Engineer,Toronto,Bachelor's,0,47500
Data Scientist,Bengaluru,Bachelor's,3,46200
QA Engineer,San Francisco,Bachelor's,5,80600
Database Administrator,New York,High School,1,67700
Network Engineer,Remote,Bachelor's,4,59400
QA Engineer,London,Bachelor's,10,77600
Marketing Manager,Remote,High School,7,58900
Software Engineer,New York,Bachelor's,0,79600
Marketing Manager,Bengaluru,High School,3,27400
HR Specialist,Remote,Bachelor's,3,47800
Data Scientist,Bengaluru,PhD,4,59500
Network Engineer,Bengaluru,Bachelor's,10,39100
Data Scientist,New York,High School,4,87900
Product Manager,Toronto,Bachelor's,5,100100
Business Analyst,New York,Master's,4,71900
Business Analyst,London,Master's,6,71500
Database Administrator,Remote,Bachelor's,5,61400
Database Administrator,Toronto,Master's,3,67000
Network Engineer,London,High School,6,64000
HR Specialist,Toronto,Bachelor's,0,41800
QA Engineer,London,Bachelor's,5,66800
Marketing Manager,Toronto,High School,3,51600
Database Administrator,Bengaluru,Bachelor's,2,35300
Data Scientist,Remote,Bachelor's,6,84000
Data Scientist,Remote,PhD,0,76400
UX Designer,Toronto,Master's,0,59000
Network Engineer,San Francisco,Master's,5,89300
HR Specialist,Bengaluru,Bachelor's,0,26200
Systems Engineer,Bengaluru,Bachelor's,0,33100
Product Manager,Bengaluru,High School,3,51700
HR Specialist,Bengaluru,PhD,0,36000
Network Engineer,New York,Bachelor's,9,87300
Product Manager,Bengaluru,Bachelor's,6,61500
Product Manager,Remote,Master's,3,105800
DevOps Engineer,London,Master's,3,93300
Business Analyst,Remote,Bachelor's,0,46100
Marketing Manager,New York,Bachelor's,3,73200
Data Scientist,New York,High School,0,73700
Data Scientist,Bengaluru,Master's,3,53100
Data Scientist,Remote,Bachelor's,6,88100
Network Engineer,London,Bachelor's,4,69400
Business Analyst,Toronto,Bachelor's,2,49300
Software Engineer,Toronto,Bachelor's,6,70300
QA Engineer,Toronto,High School,1,39300
Product Manager,Remote,Bachelor's,8,114500
Data Scientist,Bengaluru,Master's,0,41600
Product Manager,Remote,Bachelor's,7,109700
HR Specialist,Remote,Bachelor's,6,51200
Software Engineer,London,Master's,8,103000
Database Administrator,London,Bachelor's,4,69300
Product Manager,New York,Master's,5,138300
Database Administrator,Toronto,Bachelor's,6,63100
Systems Engineer,San Francisco,Bachelor's,7,106400
UX Designer,Bengaluru,Bachelor's,10,54300
Systems Engineer,New York,Bachelor's,7,95800
Product Manager,Toronto,Bachelor's,5,101500
Product Manager,New York,Master's,3,130800
DevOps Engineer,Toronto,Master's,2,82900
Systems Engineer,Bengaluru,Bachelor's,7,47400
QA Engineer,Toronto,Bachelor's,4,56000
Database Administrator,Remote,Bachelor's,5,63400
UX Designer,Toronto,Master's,3,64200
Software Engineer,Toronto,Master's,4,82000
UX Designer,Remote,Bachelor's,7,69200
DevOps Engineer,New York,Bachelor's,9,127000
Business Analyst,London,Master's,5,70900
Network Engineer,London,Bachelor's,1,57100
Product Manager,London,Master's,3,115900
Software Engineer,San Francisco,Bachelor's,5,107400
Business Analyst,Toronto,Master's,6,61400
UX Designer,Bengaluru,Bachelor's,4,34100
Data Scientist,San Francisco,Bachelor's,1,91500
Network Engineer,Remote,Bachelor's,8,64600
Software Engineer,New York,Bachelor's,2,77400
Network Engineer,Toronto,Bachelor's,3,54700
Systems Engineer,Bengaluru,Bachelor's,4,41100
HR Specialist,Bengaluru,Bachelor's,0,25600
Product Manager,San Francisco,Bachelor's,3,129600
Product Manager,London,Bachelor's,2,96200
Network Engineer,London,PhD,4,80500
Database Administrator,Toronto,Bachelor's,9,73600
Data Scientist,New York,Master's,0,88200
Business Analyst,San Francisco,Bachelor's,2,67300
Database Administrator,New York,Bachelor's,1,65200
UX Designer,New York,Bachelor's,4,76200
DevOps Engineer,Bengaluru,High School,2,40800
UX Designer,Bengaluru,Bachelor's,8,45700
Marketing Manager,Toronto,Bachelor's,6,61600
Marketing Manager,Bengaluru,Master's,0,36400
DevOps Engineer,San Francisco,Bachelor's,7,133100
QA Engineer,New York,Master's,3,73300
Product Manager,Bengaluru,Bachelor's,7,68300
Data Scientist,London,Bachelor's,4,88900
UX Designer,Remote,Bachelor's,6,64800
Database Administrator,Bengaluru,Bachelor's,3,37100
QA Engineer,Remote,Bachelor's,4,53500
DevOps Engineer,New York,High School,5,99000
Systems Engineer,Bengaluru,Bachelor's,3,33100
Database Administrator,New York,Master's,4,87100
Software Engineer,San Francisco,Bachelor's,0,86100
DevOps Engineer,San Francisco,Master's,5,138900
Business Analyst,London,High School,2,49200
DevOps Engineer,London,Bachelor's,9,115800
Data Scientist,New York,Bachelor's,2,90100
Marketing Manager,Remote,PhD,5,79500
HR Specialist,San Francisco,Master's,4,77500
Business Analyst,Bengaluru,Bachelor's,8,39800
QA Engineer,Remote,Master's,2,55600
Systems Engineer,Toronto,Bachelor's,4,68300
QA Engineer,Remote,Bachelor's,2,45400
Product Manager,New York,Master's,7,153100
HR Specialist,Remote,Bachelor's,0,42100
Software Engineer,Bengaluru,Master's,0,34200
Software Engineer,Bengaluru,Bachelor's,2,42200
Data Scientist,London,Bachelor's,2,82200
Database Administrator,Bengaluru,Bachelor's,3,40200
Database Administrator,Bengaluru,Bachelor's,2,32800
Network Engineer,Remote,Bachelor's,6,63400
HR Specialist,London,Master's,2,57700
Data Scientist,Bengaluru,Bachelor's,1,38500
Software Engineer,London,Bachelor's,0,70600
Business Analyst,Toronto,Bachelor's,5,57900
Marketing Manager,Remote,Bachelor's,1,48400
Product Manager,New York,Bachelor's,3,112400
HR Specialist,New York,Bachelor's,0,50000
Systems Engineer,Bengaluru,Master's,7,51300
Database Administrator,Bengaluru,Master's,3,45000
QA Engineer,New York,Bachelor's,5,67500
HR Specialist,London,Bachelor's,1,50500
Network Engineer,London,Bachelor's,7,77300
Systems Engineer,London,Bachelor's,3,74000
Business Analyst,New York,Bachelor's,3,63800
QA Engineer,Remote,Bachelor's,0,46800
Data Scientist,Toronto,High School,0,56800
QA Engineer,San Francisco,Bachelor's,4,76900
Product Manager,London,Bachelor's,0,86400
Network Engineer,Remote,Bachelor's,7,68000
Business Analyst,San Francisco,Bachelor's,0,63000
Data Scientist,San Francisco,Master's,6,139200
DevOps Engineer,San Francisco,Bachelor's,1,103700
Business Analyst,Toronto,Bachelor's,5,53800
Business Analyst,Remote,Bachelor's,7,60000
Data Scientist,San Francisco,Bachelor's,0,91800
UX Designer,Bengaluru,High School,12,39900
Marketing Manager,Toronto,Bachelor's,1,55000
Database Administrator,Bengaluru,High School,5,40400
UX Designer,Toronto,Master's,5,71000
UX Designer,Remote,Bachelor's,7,65600
Database Administrator,London,Bachelor's,5,73900
UX Designer,London,Master's,2,70600
Business Analyst,Bengaluru,Bachelor's,3,33900
Data Scientist,Bengaluru,Bachelor's,2,43500
Marketing Manager,Remote,Bachelor's,3,61500
DevOps Engineer,London,PhD,0,102500
Database Administrator,New York,Bachelor's,0,60600
Product Manager,Toronto,High School,2,72600
Data Scientist,London,Master's,8,120100
Marketing Manager,Bengaluru,High School,6,31700
Software Engineer,New York,Bachelor's,5,98300
Product Manager,London,High School,5,107900
Data Scientist,Remote,Master's,6,96500
Data Scientist,Toronto,Bachelor's,5,78700
Database Administrator,Toronto,Bachelor's,2,58800
HR Specialist,Bengaluru,Bachelor's,5,31400
Database Administrator,Toronto,Master's,6,80000
Network Engineer,New York,Bachelor's,5,77800
Marketing Manager,Toronto,Bachelor's,4,56300
UX Designer,San Francisco,Master's,1,80400
Product Manager,Toronto,Bachelor's,2,85900
Marketing Manager,Toronto,Bachelor's,4,62700
Business Analyst,New York,Bachelor's,5,68900
Marketing Manager,New York,Bachelor's,6,84300
Product Manager,Remote,Master's,7,117700
Data Scientist,Toronto,Bachelor's,5,82900
UX Designer,San Francisco,Bachelor's,2,75200
Software Engineer,San Francisco,Bachelor's,5,100900
Network Engineer,Bengaluru,Bachelor's,7,40500
Marketing Manager,Toronto,Master's,2,63300
QA Engineer,Toronto,High School,1,46800
Business Analyst,London,Bachelor's,5,60000
Product Manager,London,High School,0,86300
HR Specialist,Bengaluru,Master's,3,33100
Product Manager,Remote,Master's,3,105000
Database Administrator,New York,Bachelor's,6,86300
UX Designer,Remote,Master's,4,65700
Product Manager,New York,Bachelor's,4,119600
Product Manager,New York,Master's,0,113900
QA Engineer,Remote,Bachelor's,6,62500
HR Specialist,London,Master's,7,75600
DevOps Engineer,Remote,Bachelor's,5,90600
UX Designer,Toronto,Bachelor's,9,71000
Business Analyst,London,Bachelor's,5,60500
Data Scientist,Toronto,Master's,3,85400
UX Designer,San Francisco,Bachelor's,6,93700
Product Manager,London,Bachelor's,4,108400
UX Designer,Remote,Bachelor's,1,56900
UX Designer,Bengaluru,Master's,4,36500
Business Analyst,Toronto,Bachelor's,7,64800
Network Engineer,New York,Bachelor's,5,71900
DevOps Engineer,Toronto,Bachelor's,6,88400
HR Specialist,Remote,Bachelor's,7,55400
Product Manager,San Francisco,Bachelor's,9,165000
UX Designer,Remote,Master's,1,68000
Network Engineer,Remote,Bachelor's,5,56500
QA Engineer,New York,Bachelor's,4,69800
UX Designer,Remote,Bachelor's,3,57000
HR Specialist,Toronto,High School,2,39200
Product Manager,New York,Bachelor's,1,106900
Product Manager,London,Master's,4,124300
Business Analyst,San Francisco,Master's,7,93400
Product Manager,Bengaluru,PhD,5,75200
Systems Engineer,San Francisco,Bachelor's,2,84100
Business Analyst,San Francisco,PhD,5,99400
Data Scientist,London,Master's,3,94000
Data Scientist,Toronto,High School,2,62200
QA Engineer,Remote,Bachelor's,3,50900
QA Engineer,New York,Bachelor's,0,54900
UX Designer,London,Master's,0,61300
Database Administrator,San Francisco,Bachelor's,3,82000
Database Administrator,Bengaluru,Bachelor's,3,36400
